SROM fields,,,,,BCM943431 P151,
Byte Offset,,Word Offset,,Description,Value,Explanation
Dec,Hex,Dec,Hex,,Hex,
0,0,0,0,"3:0 Enable function bits 
8:4 Reserved 
9 Force Clock Run 
10 Cardbus mode 
11 Reserved 
15:12 PCI Core Index",0x2801,
2,2,1,1,"7:0 Common power 
8 BootROM Present 
15:9 BootROM Size",0x0000,
4,4,2,2,PCI subsystem ID,0x0525,BCM943431MC
6,6,3,3,PCI subsystem vendor ID,0x14E4,BROADCOM
8,8,4,4,Ind/ASPM,0x0078,"ASPM, bit4: L1, bit 3: L0s(1 means enable,0 means disable)"
10,A,5,5,"bit 12: Surprise Error Rep, 11:0 L0/L1 Latency",0xEDBE,
12,C,6,6,"14:8 PCIe DLink Reg, 7:0 PCIe Port Number",0x0000,
14,E,7,7,PowerBudget0,0x2BC4,
16,10,8,8,PowerBudget1,0x2A64,
18,12,9,9,PowerBudget2,0x2964,
20,14,10,A,PowerBudget3,0x2C64,
22,16,11,B,PowerBudget4,0x3CE7,
24,18,12,C,"15:8 MAC Pointer 7:0 Advisory enables, RBER & Retry Poison",0x46FF,
26,1A,13,D,13:0 TLP Diagnostic Register,0x47FF,
28,1C,14,E,reserved,0x0C00,
30,1E,15,F,reserved,0x0820,
32,20,16,10,reserved,0x0030,
34,22,17,11,reserved,0x1002,
36,24,18,12,Auto initialization enable,0x9F28,
38,26,19,13,Serdes Auto initialization,0x5D44,
40,28,20,14,Serdes Auto initialization,0x8080,
42,2A,21,15,Serdes Auto initialization,0x1D8F,
44,2C,22,16,Serdes Auto initialization,0x0032,
46,2E,23,17,Serdes Auto initialization,0x0100,
48,30,24,18,Serdes Auto initialization,0xDF00,
50,32,25,19,Serdes Auto initialization,0x71F5,
52,34,26,1A,Serdes Auto initialization,0x8400,
54,36,27,1B,Serdes Auto initialization,0x0083,
56,38,28,1C,Serdes Auto initialization,0x8500,
58,3A,29,1D,Serdes Auto initialization,0x2010,
60,3C,30,1E,Serdes Auto initialization,0x0001,
62,3E,31,1F,reserved,0xFFFF,
64,40,32,20,reserved,0xFFFF,
66,42,33,21,reserved,0xFFFF,
68,44,34,22,reserved,0xFFFF,
70,46,35,23,reserved,0xFFFF,
72,48,36,24,reserved,0xFFFF,
74,4A,37,25,reserved,0xFFFF,
76,4C,38,26,reserved,0xFFFF,
78,4E,39,27,reserved,0xFFFF,
80,50,40,28,reserved,0xFFFF,
82,52,41,29,reserved,0xFFFF,
84,54,42,2A,15:8 LTSSM L1 min duration*50ns 7:0 Elecidle Delay Sel*50ns,0x1010,
86,56,43,2B,6:0 Serdes CLKREQ Falling Edge Stretch*50ns,0x0005,
88,58,44,2C,reserved,0xFFFF,
90,5A,45,2D,reserved,0xFFFF,
92,5C,46,2E,reserved,0xFFFF,
94,5E,47,2F,reserved,0xFFFF,
96,60,48,30,PCI device ID,0x4331,
98,62,49,31,PCI Class Code bits 31:16,0x8000,
100,64,50,32,"7:0 PCI Class Code bits 15:8 
15:8 D0 Power",0x0002,
102,66,51,33,"2:0 PME Source 
7:3 Reserved 
15:8 D1D2 Power",0x0000,
104,68,52,34,"0 BAR1 Enabled 
3:1 BAR1 Size 
4 Power Management ENable 
10:5 Report PME bits 
11 ClockReq Enable 
15:12 BAR0 SB Address bits 15:12",0x1F30,
106,6A,53,35,BAR0 SB Address bits 31:16,0x1800,
108,6C,54,36,Cardbus CIS pointer bits 15:0,0x0000,
110,6E,55,37,Cardbus CIS pointer bits 31:16,0x0000,
112,70,56,38,PCI device ID,0xFFFF,
114,72,57,39,PCI Class Code bits 31:16,0xFFFF,
116,74,58,3A,"7:0 PCI Class Code bits 15:8 
15:8 D0 Power",0xFFFF,
118,76,59,3B,"2:0 PME Source 
7:3 Reserved 
15:8 D1D2 Power",0xFFFF,
120,78,60,3C,"0 BAR1 Enabled 
3:1 BAR1 Size 
4 Power Management ENable 
10:5 Report PME bits 
11 ClockReq Enable 
15:12 BAR0 SB Address bits 15:12",0xFFFF,
122,7A,61,3D,BAR0 SB Address bits 31:16,0xFFFF,
124,7C,62,3E,Cardbus CIS pointer bits 15:0,0xFFFF,
126,7E,63,3F,Cardbus CIS pointer bits 31:16,0xFFFF,
128,80,64,40,Srom Signature,0x5372,Srom Rev >= 4
130,82,65,41,Board Rev,0x1151,Board Rev P151
132,84,66,42,boardflags bits 15:0,0x0200,
134,86,67,43,(boardflags) bits 31:16,0x0000,
136,88,68,44,boardflags2 bits 47:32,0x0000,
