SROM fields,,,,,BCM94350FCBU P287,,,
Byte Offset,,Word Offset,,Description,Value,Explanation,,
Dec,Hex,Dec,Hex,,Hex,,,
0,0,0,0,"15:12 Translate 3rd/7th 4k entry in Bar0 space
11 PWR_SYSTEM_ALLOC This bit controls the system alloc bit in the PWR_BDGT_CAP (0x15c) in the configuration space
10:4 - Internal register configuration
3 ASPM_L1_1_SUPP Advertize L1_1 capability support for ASPM
2 ASPM_L1_2_SUPP Advertize L1_2 capability support for ASPM
1 PM_L1_1_SUPP Advertize L1_1 capability support for PM
0 PM_L1_2_SUPP Advertize L1_2 capability support for PM",0x380F,"0x3800 - No L1 sub states
0x380F - Enable L1 sub states
Bit 15:12 : The index of the bus core in our device..If you program this with a wrong value, system will not work properly, please leave this value as “3” for 4350/4345..so when BAR0 is mapped with 32K, with this value, you could talk to the PCIE enumeration space registers, by accessing BAR0+8K
Bit 11 : To set the SYSTEM ALLOC bit in PWR_BDGT_CAP register. This does not impact the device, but it indicates whether the device power has already been budgeted within the system power budget (as per the pcie specification). We will set this to 1 once we finalize the OTP values",,
2,2,1,1,"15 - Internal reserved
14 - Xtal frequecy selector bit_1. ""00"" - 40Mhz, ""01"" - 37.4 Mhz, ""10"" - 38.4 Mhz, ""11"" - reserved
13 - ASPM_OPTIONALITY: This bit when set, sets the ASPM optionality bit in the link cap register. This bit is recommended to be set for newer PCIe devices and required for 3.0 compliant devices
12 - Hot reset enable: 0 will gate off phyHotReset from resetting PCIE logic and the backplane. Set this internal bit to 1.
11 - Xtal frequency selector bit_0
10:8 - Internal reserved
7:0 - PM_DATA_8_PRG This is the value read from the pm_data register when the DATA_SEL value in PM_CSR is 8. This is the power dissipated by common logic in case of multi function devices. The value is sticjy and only reset by HARD Reset",0x3800,"Xtal freq = 37.4MhzBit 14 and Bit 11 form the 2 bit xtal frequency selector bit. For 37.4Mhz crystal, set bit 14 to 0 and bit 11 to 1 to form “01”.
Bit 13 : This is the recommended bit setting for PCIe 3.0 compliant devices. We set it to 1 for PCIe compliance and in case some Root complex expects this bit to be set to 1
Bit 12 : Controls whether the PERST and pcie in-band host reset propagates and resets the backplane and pcie backplane facing logic. We set this to 1 so that the pcie reset does indeed propagate and resets accordingly. This is an Internal register configuration.
Bit 7:0 : It does not affect the device. But it can be used by system power management software for power budgeting applications. Traditionally set this to 0, since we are not a multi-function device",,
4,4,2,2,PCI subsystem ID,0x0675,"BCM94350FCBU
Subsystem ID for 4345/4350 Reference Design based on FP Form Factor,
This value be displayed in the PCIE config space.
Devices are usually idenitifed by the device Ids
This reflects in PCI Config space of the device (0x2C/0x2E)",,
6,6,3,3,PCI subsystem vendor ID,0x14E4,for now Broadcom. Apple is x106b,,
8,8,4,4,"15:5 - Internal reserved; must be set to binary ""000_0001_0000""
4:3 - ASPM_SUPPORT: controls the value of the ASPM_SUPT field in linlk capability register
Bits 4:3 is for ASPM. 00 - no ASPM supported; 01 - L0s supported; 10 - L1 supported; 11 - L0s and L1 supported
2:0 - Internal reserved; must be set to binary ""100""",0x021C,"0x021C - ASPM L0s and L1 supported
0x0204 - no ASPM supported
Bit 4:3 We should set this to b11 so that L0s and L1 are enabled. We are ok with enabling traditional L0s/L1 ASPM support out of the gate. Only the L1 substates are being validated right now",,
10,A,5,5,L0/L1 Latency,0x1B7E,,,
12,C,6,6,PCIe Port Number,0x0A00,CRWLPCIEGEN2-161 WAR,,
14,E,7,7,PowerBudget0,0x2BC4,Unused for closed pcie host subsystem,,
16,10,8,8,PowerBudget1,0x2A64,Unused for closed pcie host subsystem,,
