SROM fields,,,,,BCM94356WLPAGBL P101,,,
Byte Offset,,Word Offset,,Description,Value,Explanation,,
Dec,Hex,Dec,Hex,,Hex,,,
0,0,0,0,"3:0 Enable function bits 
10:4 Unused 
11 Power Budget Availability (pwr_budget_cap(0)) 
15:12 Translate 3rd/7th 4k entry in Bar0 space",0x380F,,,
2,2,1,1,"7:0 Powwer for each D state
11:8 Unused
12 Hot Reset Enable
13 link_cap.aspm_optionality
15:14 Unused",0x3800,,,
4,4,2,2,PCI subsystem ID,0x0732,BCM94356WLPAGBL,,
6,6,3,3,PCI subsystem vendor ID,0x14E4,,,
8,8,4,4,ASPM,0x021C,,,
10,A,5,5,L0/L1 Latency,0x1B7E,,,
12,C,6,6,PCIe Port Number,0x0A00,,,
14,E,7,7,PowerBudget0,0x0000,,,
16,10,8,8,PowerBudget1,0x0000,,,
18,12,9,9,PowerBudget2,0x0000,,,
20,14,10,A,PowerBudget3,0x0000,,,
22,16,11,B,PowerBudget4,0x0000,,,
24,18,12,C,"7:0 Clkreq control
15:8 Pointer to Device Serial Number",0x00D4,,,
26,1A,13,D,"LTR Message, gen2Enable",0x253C,,,
28,1C,14,E,"LTR Message, MPS",0x2164,,,
30,1E,15,F,"LTR Message, CommonClock override",0x3203,,,
32,20,16,10,Power budgets for different power mgmt states (sel=1),0x3E5F,,,
34,22,17,11,Power budgets for different power mgmt states (sel=2),0x9605,,,
36,24,18,12,MDIO,0x9F2F,,,
38,26,19,13,MDIOAddr (2 and 3),0x79B6,,,
40,28,20,14,MDIOData (0),0x8080,,,
42,2A,21,15,MDIOData (1),0x0C03,,,
44,2C,22,16,MDIOData (2),0x4000,,,
46,2E,23,17,MDIOData (3),0x3240,,,
48,30,24,18,MDIOAddr (5)(1:0),0x5F00,,,
50,32,25,19,"MDIOAddr (5)(3:0), MDIOAddr (6 and 7)",0x4DF4,,,
52,34,26,1A,MDIOData (4),0x8090,,,
54,36,27,1B,MDIOData (5),0xEE00,,,
56,38,28,1C,MDIOData (6),0x8630,,,
58,3A,29,1D,MDIOData (7),0x0180,,,
60,3C,30,1E,"MDIOAddr(8), MDIOAddr(9)(1:0)",0x002B,,,
62,3E,31,1F,"MDIOAddr(9)(5:2), MDIOAddr(10 and 11)",0x0000,,,
64,40,32,20,MDIOData (8),0x0000,,,
66,42,33,21,MDIOData (9),0x0000,,,
68,44,34,22,MDIOData (10),0x0000,,,
70,46,35,23,MDIOData (11),0x0000,,,
72,48,36,24,"MDIOAddr (12), MDIOAddr(13)(1:0)",0x0000,,,
74,4A,37,25,"MDIOAddr (13)(5:2), MDIOAddr(14)",0x0000,,,
76,4C,38,26,MDIOData (12),0x0000,,,
78,4E,39,27,MDIOData (13),0x0000,,,
80,50,40,28,MDIOData (14),0x0000,,,
82,52,41,29,MDIOData (15),0x0000,,,
84,54,42,2A,Spare address 0 to program COE pvt registers,0x8800,,,
86,56,43,2B,Spare Data 0  to program COE pvt registers,0x030A,,,
88,58,44,2C,Spare address 1 to program COE pvt registers,0x0160,,,
90,5A,45,2D,Spare Data 1 to program COE pvt registers,0x0000,,,
92,5C,46,2E,Spare address 2 to program COE pvt registers,0x0000,,,
94,5E,47,2F,Spare Data 2 to program COE pvt registers,0x0000,,,
96,60,48,30,PCI device ID,0x43EC,BCM4356 Dual-Band,,
98,62,49,31,PCI Class Code bits 15:0,0x8000,,,
100,64,50,32,"7:0 Class code in cfg (23:16)
8: BAR1 prefect disable
15:9 Power for each D0 state",0x0002,,,
102,66,51,33,Power for D states,0x0000,,,
104,68,52,34,"0 BAR1 Enabled 
3:1 BAR1 Size 
4 Power Management Enable 
10:5 Report PME bits 
11 Clock PME enabled
15:12 BAR0 backplane adddres translation",0x3FF5,,,
106,6A,53,35,BAR0 backplane adddres translation,0x1800,,,
108,6C,54,36,BAR2 enable and size,0x0000,,,
110,6E,55,37,Unused,0x0000,,,
112,70,56,38,PCI device ID,0x0000,,,
114,72,57,39,PCI Class Code bits 23:8,0x0000,,,
116,74,58,3A,"PCI Class Code bits 31:24 
Power in D states",0x0000,,,
118,76,59,3B,"Power for D1, D2, D3 states",0x0000,,,
120,78,60,3C,BAR1 Control,0x0000,,,
122,7A,61,3D,BAR0 backplane address translation,0x0000,,,
124,7C,62,3E,BAR2 enable and size,0x0000,,,
126,7E,63,3F,Unused,0x0000,,,
128,80,64,40,Srom Signature,0x0634,Srom Rev 11,,
130,82,65,41,Board Rev,0x1101,Board Rev P101,,
