2534
6.8 1
0.61 0.69 1.0
0.67 0.75 1.0
0.79 0.84 1.0
0.97 0.97 1.0
1.0 0.96 0.92
1.0 0.82 0.63
1.0 0.8 0.44
3.53573 -0.172928 5.4 G5
1.59511 1.02878 5.4 K0
3.89507 -1.09222 5.4 B3
1.87887 -0.705345 5.4 A2
1.58897 -0.0730809 5.4 B3
3.24941 -1.02477 5.4 MB
6.23984 0.186213 5.4 A3
0.764328 -0.419954 5.4 A5
1.92465 -0.555473 5.4 B5
0.680553 0.379546 5.4 A2
1.64806 0.933355 5.4 F5
5.09958 0.486233 5.4 B9
3.25685 0.457091 5.4 A0
1.0474 -0.00703731 5.4 F5
3.98241 0.0894271 5.4 K0
4.21575 1.18581 5.4 A0
1.31555 -0.859075 5.4 F5
5.66455 0.751297 5.4 K5
5.49681 -0.677678 5.4 F0
1.05395 0.0469922 5.4 F5
4.28124 -0.653643 5.4 B8
3.86076 -0.451675 5.4 G5
0.0800414 -1.22003 5.4 B9
5.62406 -0.722582 5.4 K0
5.84181 -0.381346 5.4 K0
5.11757 0.512287 5.4 ++
2.52372 1.26504 5.4 K0
0.193683 1.30158 5.4 B8
5.7998 0.882714 5.4 A2
5.04977 0.214344 5.4 F0
2.18156 -1.24539 5.4 B9
4.91616 -0.355755 5.4 K0
4.185 0.583872 5.4 F8
5.83788 0.0966487 5.4 B5
2.55845 -1.33593 5.4 K0
4.91761 1.29204 5.4 G5
0.611974 -0.419624 5.4 F5
1.95663 -1.37865 5.4 K2
2.14728 -0.873425 5.4 K5
4.77386 0.735504 5.4 B5
5.83624 -0.140899 5.4 B8
5.83621 1.4985 5.4 A0
2.71091 -0.658958 5.4 A3
4.24466 0.593134 5.4 G0
4.24462 -0.937026 5.4 M0
2.65189 -1.06996 5.4 M2
2.24317 -1.01318 5.4 B3
2.48855 -0.705591 5.4 K0
2.46916 -1.40624 5.4 F2
5.80323 0.987684 5.4 F8
2.65141 -0.219355 5.4 F0
3.07292 0.97575 5.4 K0
1.09457 0.132467 5.4 F0
4.41162 0.554722 5.4 F0
0.701861 -0.890385 5.4 F5
3.15054 -1.18771 5.4 A0
2.4666 -0.102133 5.4 G0
2.80601 0.540113 5.4 B9
6.10633 0.550446 5.4 B8
4.4779 0.628302 5.4 A5
5.22136 0.538381 5.4 B8
2.19892 -0.0667031 5.4 A5
5.32284 0.423862 5.4 B8
1.10892 -1.08764 5.4 K0
2.64992 -1.14441 5.4 K0
