# entries copied (as 'select' -> copy -> 'paste into this file')  from Chip_Architecture/Bussing/Released/BCM7420/scb_clients.xls
# Removed duplicates for clients 41, 124 and 125
	DDR0 Client#	DDR1 Client#		
XPT_WR0	0		RT	XPT client names change from 7405 onward, i.e. changed XPT0,1,2,3 to XPT_WR0,1,2 and XPT_RD0,1,2
XPT_WR1	1		RT_RR	
XPT_WR2	2		RT_RR	
M2MC0 (GFX)	3	3	RR	M2MC has access to all SCBs (Called "GFX" for BCM7038)
"AVD_DBLK_0/
AVD_BLK_0"	4		Row_Doc	AVD Deblock Writes
AVD_ILA_0	5		RT	AVD Inner Loop ARC 
AVD_OLA_0	6		RT	AVD Outer Loop ARC
AVD_CAB_0	7		RT	AVD CABAC 
AVD_SYM_0	8		RT	AVD Symbol read
XPT_RD0	9		RT_RR	XPT_RD
M2MC1	10	10		M2MC has access to all SCBs. (Not used on BCM7400B). After 7400a0, M2MC performance is increased and removed one complete instance.
"AVD_DBLK_1/
AVD_BLK_1"		11	Row_Doc	AVD Deblock Writes
AVD_ILA_1	12		RT	AVD Inner Loop ARC 
AVD_OLA_1	13		RT	AVD Outer Loop ARC
AVD_CAB_1	14		RT	AVD CABAC 
AVD_SYM_1	15		RT	AVD Symbol read
XPT_RD1	16		RT_RR	XPT_RD
"BVNM_FGT /
EDU"	17		RT_RR	This client  is reserved for BCM7400B -FGT. It is not used. Client #51 is used for FGT. As this client is not used in any chip for FGT, it's used for EBI DAM Unit 
BVN_I656_ANC1	18			"ITU656 input #2 ancillary data writes,
In 7420, there is no 656 input."
AUD_ZSP	19		RT	
AUD_AIO	20		RT	"AIO" is the new name for "FMM"
BVN_I656_ANC0	21			"ITU656 input ancillary data writes:   
In 7420, there is no 656 input"
AEGIS (BSP)	22	22	RT	
XPT_RD2	23		RT_RR	XPT client names change
VEC_VBI_ENC2	24		RT	TTX2 -- assigned to tertiary VEC 
VEC_VBI_ENC1	25		RT	TTX1 -- assigned to secondary VEC
VEC_VBI_ENC0	26		RT	TTX0 -- assigned to primary VEC
BVN_GFD2	27	27	RT	Need more clarity on usage mode for 3rd GFD.
