video protocol: MPEG2
revision pre-S
AVD CRC a04a1f79 e70f58ac e393d62d; 0 0 0
AVD CRC 36de2bf8 d61f299a cd6ab1e4; 0 0 0
AVD CRC 38a2ba83 249d921b 4f7274d8; 0 0 0
AVD CRC 8bd8ee8e fb7a5308 82629eb6; 0 0 0
AVD CRC 16ac684e 6572c283 12bcdc5b; 0 0 0
AVD CRC 26ea7066 71887eda d6ca5b09; 0 0 0
AVD CRC 45732b76 cc471ea5 1c41a952; 0 0 0
AVD CRC 803b46df 776188cb 6c716cc8; 0 0 0
AVD CRC f34957c2 efddb4b2 f25cf4c7; 0 0 0
AVD CRC 11220cee 2bbca8b2 3bd1f326; 0 0 0
AVD CRC dd0e3a44 9a4de031 ed064d85; 0 0 0
AVD CRC 31dbfc5f 17b3faa 384906fa; 0 0 0
AVD CRC d992cb24 ea1d0919 8dac1f96; 0 0 0
AVD CRC d04e3b02 5fe5d4 edafb874; 0 0 0
AVD CRC 74ae4d68 7f67780a dcedf204; 0 0 0
AVD CRC a86f2121 58afa787 c7a8837; 0 0 0
AVD CRC eeb00025 d61345d c38e8be2; 0 0 0
AVD CRC c5d3617a 29161ce5 34fdec30; 0 0 0
AVD CRC 3f4582f4 a3f8cdaf a924b385; 0 0 0
AVD CRC a40e6ffa ff6c4c98 2f417aff; 0 0 0
AVD CRC 6396a3c1 314da542 c0d702ec; 0 0 0
AVD CRC 3202468 53a82f84 53d555a8; 0 0 0
AVD CRC 9ac2bbeb 27925d0f b01c7435; 0 0 0
AVD CRC 92d08643 ea06b1a4 1f3c20b3; 0 0 0
AVD CRC 26471928 d853bf3 25eb6318; 0 0 0
AVD CRC 72060344 1625cea5 4f137748; 0 0 0
AVD CRC def77955 a9e0c30c 26a0f6c8; 0 0 0
AVD CRC ec1fc91a 9e30e8eb d4ec9dec; 0 0 0
AVD CRC a77e54de 91b13ba8 752f09de; 0 0 0
AVD CRC 332140ea 23a79f74 4c5c117; 0 0 0
AVD CRC 84d7c346 da5b0475 14ebc13d; 0 0 0
AVD CRC c2256497 5362f54b 6d4ea2c4; 0 0 0
AVD CRC 64256385 3cab8825 bbeac243; 0 0 0
AVD CRC c37d2eed 74e8bf8c 5bbb8f53; 0 0 0
AVD CRC f40b36eb 61407160 6fb294d1; 0 0 0
AVD CRC fefcbe8f 857b4ca9 d75c8568; 0 0 0
AVD CRC 410f236 761f90ea 3ea05d48; 0 0 0
AVD CRC ecb9d16a 6468dd f9a6be11; 0 0 0
AVD CRC 23511a30 ce3672b3 1ed9d407; 0 0 0
AVD CRC a735730e 49ed86 aae1957a; 0 0 0
AVD CRC 779ebe50 6ac1e1c3 d0751fb; 0 0 0
AVD CRC ca14417a c385c706 68df28b1; 0 0 0
AVD CRC 8b658d91 84269394 98932af6; 0 0 0
AVD CRC 30d408df 28eaad1a 771e5b72; 0 0 0
AVD CRC 963515f2 db9f5827 707ba955; 0 0 0
AVD CRC b102c3d8 16381f39 12283cc1; 0 0 0
AVD CRC a22ba155 ae1eef14 65a9369a; 0 0 0
AVD CRC 67b3d0bc a7b69970 3872f83d; 0 0 0
AVD CRC a24eb008 51b97aa5 a9f7e7c8; 0 0 0
AVD CRC 2f3cd98c e2e06918 6e9cef5; 0 0 0
AVD CRC 538bbbda e3694fa9 eb799550; 0 0 0
AVD CRC d7885213 96c4a427 4f3d782f; 0 0 0
AVD CRC 47328499 fb00aede d1ca0074; 0 0 0
AVD CRC bdaecf81 f8186742 4a294c29; 0 0 0
AVD CRC 430b20cd 8a9644e9 62b8435c; 0 0 0
AVD CRC 6de8d6 62d8f053 bd956183; 0 0 0
AVD CRC bfb1df1f cf0a49c7 b56a7b0; 0 0 0
AVD CRC 5d84e77f 3742d5fc 6dd99876; 0 0 0
AVD CRC dd66de82 7c97d4d4 bf994d3e; 0 0 0
AVD CRC cdbcd025 b82266e8 8d498f46; 0 0 0
AVD CRC 89e94bae edaf63f b05a3610; 0 0 0
AVD CRC 7b5d876 654a0af4 747d4c85; 0 0 0
AVD CRC 6e8d9fad 715c330a a1502ae0; 0 0 0
AVD CRC 979911d7 c107e302 be5858f9; 0 0 0
AVD CRC 700fd148 4e28ed19 eb5ce4d3; 0 0 0
AVD CRC a0be099b e7f35600 888deabb; 0 0 0
AVD CRC bfb12d60 9f21e959 decf446b; 0 0 0
AVD CRC 86ef6f05 8781b1b2 31ba655e; 0 0 0
AVD CRC 620d7847 74f06752 d989095f; 0 0 0
AVD CRC 20f47158 2b59f9b5 e692e11d; 0 0 0
AVD CRC 47764a60 77a5f573 c70f3805; 0 0 0
AVD CRC 266c4342 3e872923 8e813cb4; 0 0 0
AVD CRC fd21eda9 e7e3525d c53c32a9; 0 0 0
AVD CRC 3a85ddae d48882f f92d3ca5; 0 0 0
AVD CRC fe136863 584298a0 5e142f08; 0 0 0
AVD CRC 1e7fb8a2 9576ad63 a9077812; 0 0 0
AVD CRC 790f8195 8aefc4b9 52433c77; 0 0 0
AVD CRC 8fa02eda 20adcc9 f8bb0456; 0 0 0
AVD CRC af0db2a6 2709b5d6 dbeeef9a; 0 0 0
AVD CRC 190cc468 b0e17dc0 30c56709; 0 0 0
AVD CRC e649ca77 9ef340a3 1267e202; 0 0 0
AVD CRC e8ca3e16 edab8953 23fef09b; 0 0 0
AVD CRC f9c5a239 c7795e29 fce02ff8; 0 0 0
AVD CRC 16a95c3e b7201c13 56de1e6d; 0 0 0
AVD CRC 1c3c3601 c13ceb93 91d2cf55; 0 0 0
AVD CRC 851eec03 eb2c3fc9 dac4400f; 0 0 0
AVD CRC 89f4afbd 6b85c457 32ae91d1; 0 0 0
AVD CRC 89e018d1 842d13c3 169115db; 0 0 0
AVD CRC 3d78937d 2c2e6028 8082a53f; 0 0 0
AVD CRC c127b7e3 bfaf7784 6ba3e70c; 0 0 0
AVD CRC f0341121 eb6c3aa7 ea484299; 0 0 0
AVD CRC 7616b95f 6da9a063 e2b56997; 0 0 0
AVD CRC 1bc354b6 cafd5b3c a857bcd2; 0 0 0
AVD CRC 6f327b1e c6e00f94 d10f6f0; 0 0 0
AVD CRC cd22e7de 62e36c00 e03d7210; 0 0 0
AVD CRC 7978afd9 6c5fbb05 5ba41c46; 0 0 0
AVD CRC aa5cc4cf c67e443a 80a9c65b; 0 0 0
AVD CRC eece8a06 47a82119 dc1b0555; 0 0 0
AVD CRC 5097a738 da057815 77aac68c; 0 0 0
AVD CRC b0402059 bcc59e06 23f5258c; 0 0 0
AVD CRC 3f2758b2 90a2ea1 12917f90; 0 0 0
AVD CRC 99b8fc76 9e07c078 a6e311b4; 0 0 0
AVD CRC 3852870e 8c73fe7d f5718857; 0 0 0
AVD CRC 5501b519 6f738004 d9bfc94e; 0 0 0
AVD CRC f7ec8111 49532fb7 fdf93d4e; 0 0 0
AVD CRC b7782e37 75b686ad 785c9221; 0 0 0
AVD CRC 29f9e6f5 57ec4a2a f2965cec; 0 0 0
AVD CRC 579fd74c 2e165d54 50faa99; 0 0 0
AVD CRC f3e689c0 866f642b cf505b48; 0 0 0
AVD CRC a439134d 754108ee aacbbfdc; 0 0 0
AVD CRC 9f1d2ac b18a6d88 1024f511; 0 0 0
AVD CRC bea57451 9cef0d7 93c35fa4; 0 0 0
AVD CRC ec48b393 2e6d365 79749f88; 0 0 0
AVD CRC 18cbd2a4 5947be49 7ee00cb8; 0 0 0
AVD CRC f316ed2f 6fbfbd73 85dd4af8; 0 0 0
AVD CRC e179d3ef 4fe6dd5f bef35faf; 0 0 0
AVD CRC 687d890b cf8b1b4 27dd48d0; 0 0 0
AVD CRC 67f60bf4 614431ae 77f922f; 0 0 0
