video protocol: VC1
revision all
AVD CRC 34f869a c96cdbc7 82d6141a; 0 0 0
AVD CRC 4d745b4e f6b6577b 9a5f3b8f; 0 0 0
AVD CRC 91d433c9 227f1875 383c2a38; 0 0 0
AVD CRC d2fe957 2325842b abe1a6a5; 0 0 0
AVD CRC a8e4d692 1e3463cc e1401098; 0 0 0
AVD CRC 8f95d67 ff3af218 401bf96; 0 0 0
AVD CRC db4d5144 4ba8d856 ba951a0e; 0 0 0
AVD CRC dc53b21f 3693c4db c4878be1; 0 0 0
AVD CRC 37ef33a9 4d0e7c64 39113382; 0 0 0
AVD CRC 487f425c 71f36e5c 12bfd2fe; 0 0 0
AVD CRC 56792c54 1a7f32f1 2973e175; 0 0 0
AVD CRC c8bcbb45 d169d3a6 f4ddc78d; 0 0 0
AVD CRC c4843b62 cb3abed8 55f8cc4b; 0 0 0
AVD CRC 60a78544 62db2f36 2acf414; 0 0 0
AVD CRC e7d25d4c 88980a89 d5535ec5; 0 0 0
AVD CRC e5d2411 624ab41a 4d07ad96; 0 0 0
AVD CRC 9c673838 5e45e904 e6206aa6; 0 0 0
AVD CRC b0fad0c8 78de50f5 51e1d707; 0 0 0
AVD CRC cb882865 5d6737f2 82345da5; 0 0 0
AVD CRC e4d5a6e9 ed17f15f 2d4a059f; 0 0 0
AVD CRC de029087 f4286746 7002384d; 0 0 0
AVD CRC 15d16083 be9164e2 11574e3d; 0 0 0
AVD CRC d6256467 1cb85bcc 1ad18e9a; 0 0 0
AVD CRC 2d38e720 281132ed 7cd23f0b; 0 0 0
AVD CRC e1725c38 9bc49db5 22c16298; 0 0 0
AVD CRC 70f48d97 c8d7ccd3 3682a6ad; 0 0 0
AVD CRC d9941c7b 440e2768 4f559c57; 0 0 0
AVD CRC 77de94dd e2d842e4 ecf434aa; 0 0 0
AVD CRC d8a510d5 4f245802 638fbf49; 0 0 0
AVD CRC 87e340dd e38d7bb9 569a4dc; 0 0 0
AVD CRC 7c252a56 e9db749e c0a7b95c; 0 0 0
AVD CRC 119a7750 65695d45 46dc0a4a; 0 0 0
AVD CRC 16428292 d86608f0 5e39120a; 0 0 0
AVD CRC 56715743 79dca527 4e8c3642; 0 0 0
AVD CRC e3fdfc0a 50e249c2 8e6916a9; 0 0 0
AVD CRC 713cee76 9229c32c ba44a4a3; 0 0 0
AVD CRC d5a07443 18ad3856 c16c4415; 0 0 0
AVD CRC 902b38bc fd0d326c 8c5931b8; 0 0 0
AVD CRC b00b4035 7e74fba6 42409895; 0 0 0
AVD CRC 4adc8ed5 d36d0433 1d59262e; 0 0 0
AVD CRC 99494d68 5638e89 50421d93; 0 0 0
AVD CRC 815cb39e 3a8d9f01 797dff4c; 0 0 0
AVD CRC 8ed55c30 6af74869 d4eb581; 0 0 0
AVD CRC d3a1e651 58cc04ee 9d99a47d; 0 0 0
AVD CRC 5979960f 792e3871 25744628; 0 0 0
AVD CRC 4e9f13a8 438f8376 3ba96672; 0 0 0
AVD CRC 482236bf feae7b3e 47d9f9a; 0 0 0
AVD CRC cfea45e0 d52cc0d9 6b3ddc2e; 0 0 0
AVD CRC 5a8d3790 12dbd085 69e9c43; 0 0 0
AVD CRC 5944fd5d de7b241d a148239c; 0 0 0
AVD CRC dfa59f85 fc4dcc8 f37d1c45; 0 0 0
AVD CRC 1148ca9b cb6ec9ee e47d39db; 0 0 0
AVD CRC 5dd586ef 12408630 69e654d0; 0 0 0
AVD CRC 94b86278 6d65e783 9f998457; 0 0 0
AVD CRC aeb983fe fd391b9 5a3b17a6; 0 0 0
AVD CRC c9f76ff9 24fd698f 65b4cb34; 0 0 0
AVD CRC dca62168 5abc0db 185adae7; 0 0 0
AVD CRC a1b28529 5a3cb48e 68216dee; 0 0 0
AVD CRC 89bd932d 3dcec5f2 57d70a55; 0 0 0
AVD CRC 3f330bba e63ab20f e1672c85; 0 0 0
AVD CRC 6314dfdc d491de3a 9a6ed7a; 0 0 0
AVD CRC ac6e5d36 86276326 57e31144; 0 0 0
AVD CRC 964f6ccb 336196d8 65aa65a5; 0 0 0
AVD CRC 69887a3e 1eece473 8865da4; 0 0 0
AVD CRC 77e9005a 155b9f06 8d259228; 0 0 0
AVD CRC b187c3f0 aabed5c3 f2fcfd79; 0 0 0
AVD CRC b84f02df e09dbb40 de5a3f79; 0 0 0
AVD CRC 90038177 eea9f87d 6dbd7449; 0 0 0
AVD CRC c4f3e7cc 9a4f38ad 9a23eac; 0 0 0
AVD CRC debf64c 1bf8dcba a3413737; 0 0 0
AVD CRC 89b186f2 24437b3d 35e1f5b8; 0 0 0
AVD CRC c9fb9289 3b1086cb f06660e9; 0 0 0
AVD CRC 5570751c 9c4d63 aca09924; 0 0 0
AVD CRC f9ec64fb 92e0e03d 5d1ee17a; 0 0 0
AVD CRC d443dfc3 483acd73 14455908; 0 0 0
