video protocol: VP8
revision pre-Q
AVD CRC c0cebb68 65de8479 eea3b92; 0 0 0
AVD CRC 9b893bb3 65de8479 eea3b92; 0 0 0
AVD CRC 3d35f531 65de8479 eea3b92; 0 0 0
AVD CRC 3d35f531 65de8479 eea3b92; 0 0 0
AVD CRC 3d35f531 65de8479 eea3b92; 0 0 0
AVD CRC a2d91370 65de8479 eea3b92; 0 0 0
AVD CRC a2d91370 65de8479 eea3b92; 0 0 0
AVD CRC a2d91370 65de8479 eea3b92; 0 0 0
AVD CRC a2d91370 65de8479 eea3b92; 0 0 0
AVD CRC 4d747ba4 65de8479 d4377825; 0 0 0
AVD CRC 33f7f55c 65de8479 d4377825; 0 0 0
AVD CRC b7b4eb40 65de8479 d4377825; 0 0 0
AVD CRC b7b4eb40 65de8479 d4377825; 0 0 0
AVD CRC 6503b98b 65de8479 d4377825; 0 0 0
AVD CRC d7ef68c7 65de8479 d4377825; 0 0 0
AVD CRC b1ac4544 65de8479 d4377825; 0 0 0
AVD CRC b1ac4544 65de8479 d4377825; 0 0 0
AVD CRC b1ac4544 65de8479 d4377825; 0 0 0
AVD CRC b1ac4544 65de8479 d4377825; 0 0 0
AVD CRC b1ac4544 65de8479 d4377825; 0 0 0
AVD CRC b1ac4544 65de8479 d4377825; 0 0 0
AVD CRC b1ac4544 65de8479 d4377825; 0 0 0
AVD CRC b1ac4544 65de8479 d4377825; 0 0 0
AVD CRC b1ac4544 65de8479 d4377825; 0 0 0
AVD CRC b1ac4544 65de8479 d4377825; 0 0 0
AVD CRC 9404c90d bdb1b9d5 66708770; 0 0 0
AVD CRC 255e9228 565fad00 81e581a7; 0 0 0
AVD CRC 11a4572c a04ddaf 7074660f; 0 0 0
AVD CRC 42d22b48 be0440aa 10c16565; 0 0 0
AVD CRC 59116c3f 2f749fd4 4bfb638c; 0 0 0
AVD CRC 25173e3f 1993ec46 27e1b922; 0 0 0
AVD CRC 7ad55fb8 a07bb52d e90010b3; 0 0 0
AVD CRC 9c949c97 eb6fdf49 7bb0cf77; 0 0 0
AVD CRC d648c051 554530de d745e62; 0 0 0
AVD CRC d433442d 150b6304 1af01491; 0 0 0
AVD CRC dbd07c90 6d480f97 43684352; 0 0 0
AVD CRC c46482a6 e6f9527d 538dec42; 0 0 0
AVD CRC 2cb41a8d 2c46739f b742afaf; 0 0 0
AVD CRC bea95434 e0b245c8 b329d013; 0 0 0
AVD CRC f9dff039 2f049f72 1f5b67e4; 0 0 0
AVD CRC 857d98f1 80bddcb7 4fafe264; 0 0 0
AVD CRC 3d4cf857 2182b123 55e9ed25; 0 0 0
AVD CRC d3a81095 fe47a0d0 f5e050e3; 0 0 0
AVD CRC 999382b 2050377 59806145; 0 0 0
AVD CRC 1f0ee0fb c861ee70 51a56372; 0 0 0
AVD CRC 9e1c26cf 9cc4cf8d 2956b4e8; 0 0 0
AVD CRC 8de001b6 72fa9f3 ca0384d5; 0 0 0
AVD CRC 45afa6bc 51715d06 1983a4a1; 0 0 0
AVD CRC f62234c4 4a84d7 d886f710; 0 0 0
AVD CRC 1229979e 399ec7a c0633423; 0 0 0
AVD CRC 842ee345 10d5ed31 30a30e1c; 0 0 0
AVD CRC 92af2b10 6a3d9894 bb214840; 0 0 0
AVD CRC 746e27d0 e68f97ab f6ac51f8; 0 0 0
AVD CRC 8a0b686f 8e41f228 8146387e; 0 0 0
AVD CRC e5b9479a eca97cd1 49a3fa10; 0 0 0
AVD CRC e3dae708 2cf05b82 2c0e8d9; 0 0 0
AVD CRC 88ed0b0d fe1ece19 a0f48462; 0 0 0
AVD CRC a4b642ac 356acfe3 bd538373; 0 0 0
AVD CRC cf4554d9 593f1cd8 d55c1546; 0 0 0
AVD CRC d5a101db 4518d8ec ead65bff; 0 0 0
AVD CRC 7388009e 92edc95e c4be04cc; 0 0 0
AVD CRC 62d603b0 5b280797 59c292bb; 0 0 0
AVD CRC 4282b3f8 77b96425 dc1604b6; 0 0 0
AVD CRC d0fcb37a fcfdc7e2 93577d37; 0 0 0
AVD CRC 7c36cc2d e4172348 6f64c241; 0 0 0
AVD CRC 704580d4 c0f7c524 a66ac0a3; 0 0 0
AVD CRC 9dc29133 3652c4b 7619af48; 0 0 0
AVD CRC 243e99d5 a694b881 242e021e; 0 0 0
AVD CRC 7aa40528 c43978f e39abd9f; 0 0 0
AVD CRC 67fadb8d 2b6269ad e216e361; 0 0 0
AVD CRC db284a19 67823423 760b6efd; 0 0 0
AVD CRC ae28e1bb 8b7de1e1 9d84dabf; 0 0 0
AVD CRC 3ea62622 e6498a3f a7c36892; 0 0 0
AVD CRC 98bb978f c0c086ab 1dec75a0; 0 0 0
AVD CRC be7c56c2 324871bf 64f74dd; 0 0 0
AVD CRC 225e2b 66bd5d42 4d3a5697; 0 0 0
AVD CRC 9ab98187 264825fd c0e0a5b1; 0 0 0
AVD CRC 1316c3de 118476a3 e89ea64a; 0 0 0
AVD CRC 8c0dc862 d4680a9c 4de0d161; 0 0 0
AVD CRC edb77704 32d582c7 c90dc5c4; 0 0 0
AVD CRC f5f7761f e35519e0 1b10e37d; 0 0 0
AVD CRC b8e8e761 6b996c88 c77a26f; 0 0 0
AVD CRC 717b74ca 30f705aa febcf835; 0 0 0
AVD CRC d22ab122 a516f2d7 29c53aad; 0 0 0
AVD CRC 6b59c99f b28fbbf2 5085974b; 0 0 0
AVD CRC dfcaa922 4ba51b59 2fc9e82e; 0 0 0
AVD CRC 5374841d 5d65e07f f83033a0; 0 0 0
AVD CRC ccc6848f 539f1e58 d66af3ed; 0 0 0
AVD CRC a2dd626b e2b76dca dc953b12; 0 0 0
AVD CRC 20395605 e510647 9971daae; 0 0 0
AVD CRC 3f9a3066 49ca9205 7755a925; 0 0 0
AVD CRC b7621d3a 71d10edc c99929ee; 0 0 0
AVD CRC f69f088c 31f250cc d0c88db0; 0 0 0
AVD CRC b384933a 321e05fa e0a2f90b; 0 0 0
AVD CRC 16abc990 4e5eeae6 2638dfe7; 0 0 0
AVD CRC 77379031 6de535f4 76f0aba8; 0 0 0
AVD CRC fe683ab7 b7bcce96 972ec0f2; 0 0 0
AVD CRC da252d97 bb8246f3 c07aea74; 0 0 0
AVD CRC 5dd04503 e9ac52c6 a172737; 0 0 0
AVD CRC 1c34a3fa 5cfe68ef 45388c4e; 0 0 0
AVD CRC 29bab6b6 c425fa16 2d5c3cf2; 0 0 0
AVD CRC cffdc3d4 bd5156bb 4394297e; 0 0 0
AVD CRC 34efc3ec 96221a0 25dd8c5f; 0 0 0
AVD CRC 1a1e2d1e f1c58e62 1ab321ee; 0 0 0
AVD CRC a9e852b5 685988a1 988f04ae; 0 0 0
AVD CRC e11b0c63 d3484b4e ae5cb174; 0 0 0
AVD CRC 2d9d9be6 e6b9451b 9ca7e753; 0 0 0
AVD CRC 1ede2dfd 3188e90e 40740c68; 0 0 0
AVD CRC 905e76ee c3a8f12e 89f4d31f; 0 0 0
AVD CRC 90cdcd2f 4280d5a6 d08ee6c7; 0 0 0
AVD CRC 49f767ed 9198741d 92210384; 0 0 0
AVD CRC 2e8884cd d81035e 5c5ce52f; 0 0 0
AVD CRC dc3f4657 9550145f 70af6534; 0 0 0
AVD CRC 796f3508 d21907e3 3e51a71b; 0 0 0
AVD CRC d86c1bcb d84c9ea 5bd52194; 0 0 0
AVD CRC d4d89eb fc996b48 b1c59f53; 0 0 0
AVD CRC cc3abdeb 95af690a 459d19c4; 0 0 0
AVD CRC 2e8f215c aeee3b0a 6b69b46e; 0 0 0
AVD CRC 9d44b4b6 e9eea94b 3e30ee99; 0 0 0
AVD CRC 13930b2c a97420f9 c0aafdd6; 0 0 0
AVD CRC 36b24c21 da706769 47baefd7; 0 0 0
AVD CRC c41eb55e d9d66964 11e5a1d9; 0 0 0
AVD CRC 24ea2794 3b7e23cb 73ef9b94; 0 0 0
AVD CRC c28e6bea 3ae2dbb6 2c8a772e; 0 0 0
AVD CRC 8aeea10c 41f26ba3 608b2444; 0 0 0
AVD CRC 7075e6f8 96c8892f a5f24d8d; 0 0 0
AVD CRC 54e98786 9b1581a0 13e07583; 0 0 0
AVD CRC 68fec1f1 1383e94b 30083a15; 0 0 0
AVD CRC fc4c1ddf 7eeab13e 149c13d9; 0 0 0
AVD CRC 318fc7d6 20446d65 75b32ab8; 0 0 0
AVD CRC f9839618 f67e0e72 56b2ceb0; 0 0 0
AVD CRC 83cf8081 cbb01f0b 4aa40d41; 0 0 0
AVD CRC 45e2418c fff891f5 2cdf3a2c; 0 0 0
AVD CRC 239daf37 297cfde9 7471266a; 0 0 0
AVD CRC 5b7264fd ee2a2ea8 c7e89865; 0 0 0
