video protocol: MPEG4_PART2
revision all
AVD CRC 7d3309d2 27a47ab0 d8dd2925; 0 0 0
AVD CRC f1944013 56a322fe 2c794b78; 0 0 0
AVD CRC d4918858 466d4d48 9e322ae2; 0 0 0
AVD CRC e0dd62ef 41b5dcab 7426a80; 0 0 0
AVD CRC a0204e42 1ac46f 34d33d44; 0 0 0
AVD CRC 49bf21c7 30dd6ea 54a3e5a6; 0 0 0
AVD CRC d04dc22 79f8064f 32eb387f; 0 0 0
AVD CRC b08a806c 60e62d52 d5f033e6; 0 0 0
AVD CRC 46a8984 1da5c44b 84bdb6fc; 0 0 0
AVD CRC f19de6a 91a1ec56 77f596ad; 0 0 0
AVD CRC bd93f3a1 ea11612 e272f187; 0 0 0
AVD CRC f00b3773 1e05bbab b1ab2dd3; 0 0 0
AVD CRC 593a1aff 112e8af4 41dacff7; 0 0 0
AVD CRC ecded1c8 84e9c805 d4ddee9b; 0 0 0
AVD CRC 4f707512 4df20a82 266e4222; 0 0 0
AVD CRC be0948af 32ea7a37 e63a12de; 0 0 0
AVD CRC bbe00cee dc5bf85 c0a6dce9; 0 0 0
AVD CRC 318ed3b8 37a70b32 c60e3fea; 0 0 0
AVD CRC 49a34cdb 94f94362 b4858151; 0 0 0
AVD CRC e355bbc5 8c090409 3bb075bd; 0 0 0
AVD CRC 6819e05 fa3882e3 112a28d3; 0 0 0
AVD CRC 219bf4e 622679e9 585ab0b1; 0 0 0
AVD CRC c45c83c2 fecb7111 208127a; 0 0 0
AVD CRC 7840284f 7b5a8453 d95dc480; 0 0 0
AVD CRC a7d86e9c c643568b dc9eaf2a; 0 0 0
AVD CRC 1ec59b21 bd9c5e61 620d70e; 0 0 0
AVD CRC 871188ae 94b8e290 20d57911; 0 0 0
AVD CRC f39679d1 c0dd71ce 85084a0f; 0 0 0
AVD CRC 9d73b77b 52a10136 4328e7fe; 0 0 0
AVD CRC 64bcc203 c9a4be35 56595abc; 0 0 0
AVD CRC 32e70eca 7957d7b6 b23b2ac0; 0 0 0
AVD CRC eea49386 86c71dce affa1967; 0 0 0
AVD CRC b57217f3 a79bdf6a 2d08f465; 0 0 0
AVD CRC 20ac9850 78d41024 1191a9dc; 0 0 0
AVD CRC 990ab595 257c3f28 9a5cbb59; 0 0 0
AVD CRC a9d7e8b5 d6e589cc a49fc20b; 0 0 0
AVD CRC 8949184e d9ede9ca dee40da7; 0 0 0
AVD CRC 5be44be6 568b6414 920fc976; 0 0 0
AVD CRC 405b5727 73eccde1 1291943; 0 0 0
AVD CRC 7076cfec 9267a50b 85368c13; 0 0 0
AVD CRC 33d90dee f269883 2d79d287; 0 0 0
AVD CRC a25ea901 f449c54f 54af1297; 0 0 0
AVD CRC 3c39440f ccf9a223 f23e79c; 0 0 0
AVD CRC a3b5c829 394a054 e50af9a2; 0 0 0
AVD CRC c540254 3ccb47eb 2c1984db; 0 0 0
AVD CRC 5db391db 1701ac41 14a1ac58; 0 0 0
AVD CRC d57235c5 7776773a aa65bf26; 0 0 0
AVD CRC ca0b9f5d a6dfbce5 74838885; 0 0 0
AVD CRC 4a967eb7 e094299c d6e910fb; 0 0 0
AVD CRC 7272f9cd 32e26110 42d68c24; 0 0 0
AVD CRC 29e17081 a3d1c72f 17e091a4; 0 0 0
AVD CRC 3680e0c1 3e659135 a5079d00; 0 0 0
