video protocol: MPEG2
revision pre-S
AVD CRC a0386d11 d59a94af deb0d0cc; 0 0 0
AVD CRC 65e537f3 f024b8e3 2b1df431; 0 0 0
AVD CRC 52a40c6c b7a7e6 96cd1edf; 0 0 0
AVD CRC ce4cdd5 c228eea 3fff4436; 0 0 0
AVD CRC f8045910 1297bc49 8337b598; 0 0 0
AVD CRC 96d8e2aa 13b12bd 1d925d9c; 0 0 0
AVD CRC 31ea7dd4 e38f9fdf af71fa29; 0 0 0
AVD CRC bb2437ae b2f69941 e6599566; 0 0 0
AVD CRC b8229bf0 e12c6a8c 147fb1a2; 0 0 0
AVD CRC 412a8ca 64c81bbe d6f2487d; 0 0 0
AVD CRC 613fb26a dd2d0a5d fac6fbee; 0 0 0
AVD CRC 40f72ef9 9de8a224 7c8e70f9; 0 0 0
AVD CRC f7e50f79 18989bb8 4a855df1; 0 0 0
AVD CRC 9360afcf 8faf5aeb f91f036d; 0 0 0
AVD CRC a1b17225 c31a0590 c24fe26f; 0 0 0
AVD CRC cb3db28f 1fa91e8c 25068348; 0 0 0
AVD CRC c4b5c8c7 808960a5 cc940c4b; 0 0 0
AVD CRC 3f5c5827 909b925 ab4971c3; 0 0 0
AVD CRC 63e43f49 158cf3b7 bd9b211c; 0 0 0
AVD CRC 75e47db4 4300cab8 d325089b; 0 0 0
AVD CRC 8089d0b3 1bc48a4a 58b7867c; 0 0 0
AVD CRC fcbde389 ef9e9416 4569447c; 0 0 0
AVD CRC 87a5b9 81b2bda2 efd4bfd3; 0 0 0
AVD CRC a595b560 e75387db e7cb031b; 0 0 0
AVD CRC b6c5888 bf85d624 d83eb03a; 0 0 0
AVD CRC f2481c53 64a4d3e7 4d09eb55; 0 0 0
AVD CRC 67768e99 de50b131 333ab4a; 0 0 0
AVD CRC 21b1d361 4e803b65 ec70732b; 0 0 0
AVD CRC c3319870 4762c8a9 9a1ea78f; 0 0 0
AVD CRC f529c180 b20d62b c1da2c03; 0 0 0
AVD CRC 134c1377 4e89707 9ee3994b; 0 0 0
AVD CRC b46a819f 65126046 fe30b7ab; 0 0 0
AVD CRC 41dbccb1 108a23f6 4977e4fc; 0 0 0
AVD CRC a04855a8 1939dbb9 cf789eee; 0 0 0
AVD CRC 131d3ccd 1b745fc8 d66bb6ad; 0 0 0
AVD CRC 878d48c0 82984ffc 4a4a45c0; 0 0 0
AVD CRC 6acf522a 149bb601 703ff5f6; 0 0 0
AVD CRC 97a2a3b5 6b3028 a79cc553; 0 0 0
AVD CRC ec441f42 ce1aff41 9c5c1bd5; 0 0 0
AVD CRC 45775440 23c87070 55a9f2b7; 0 0 0
AVD CRC 9bacb0c0 fa23d8ef beaafa1d; 0 0 0
AVD CRC 40932fb4 f9e45984 6ab6e639; 0 0 0
